Student_ID,Student_Age,Sex,High_School_Type,Scholarship,Additional_Work,Sports_activity,Transportation,Weekly_Study_Hours,Attendance,Reading,Notes,Listening_in_Class,Project_work,Grade
STUDENT47,19-22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
STUDENT48,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT49,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
STUDENT50,19-22,Female,State,50%,Yes,No,Bus,0,Sometimes,Yes,Yes,Yes,Yes,CB
STUDENT51,18,Male,Private,75%,No,No,Private,2,Never,Yes,No,Yes,Yes,BA
STUDENT52,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT53,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
STUDENT54,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
STUDENT55,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
STUDENT56,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT57,18,Male,State,75%,Yes,Yes,Private,0,Always,Yes,No,No,No,DD
STUDENT58,18,Female,Private,50%,Yes,No,Bus,2,Always,No,Yes,No,No,AA
STUDENT59,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT60,18,Male,State,50%,No,No,Bus,0,Always,Yes,No,Yes,No,CB
STUDENT61,19-22,Female,State,100%,No,No,Private,0,Always,Yes,No,No,Yes,AA
STUDENT62,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,DC
STUDENT63,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT64,23-27,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
STUDENT65,19-22,Female,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,AA
STUDENT66,23-27,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
STUDENT67,19-22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
STUDENT68,19-22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
STUDENT69,23-27,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
STUDENT70,19-22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
STUDENT71,18,Male,Private,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,AA
STUDENT72,23-27,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
STUDENT73,19-22,Male,Other,50%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT74,19-22,Male,Other,100%,No,No,Private,0,Always,Yes,No,No,Yes,BB
STUDENT75,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,No,Yes,DC
STUDENT76,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,Yes,Yes,DD
STUDENT77,19-22,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
STUDENT78,19-22,Male,State,50%,No,Yes,Private,2,Always,Yes,No,No,Yes,DC
STUDENT79,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT80,19-22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
STUDENT81,19-22,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
STUDENT82,18,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,No,Yes,Yes,Fail
STUDENT83,19-22,Female,State,50%,Yes,No,Bus,0,Sometimes,Yes,Yes,Yes,Yes,CB
STUDENT84,19-22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
STUDENT85,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT86,18,Male,State,100%,No,Yes,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT87,19-22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
STUDENT88,18,Male,Private,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,AA
STUDENT89,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT90,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
STUDENT91,18,Female,Other,75%,No,No,Private,0,Always,No,Yes,Yes,No,DC
STUDENT92,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
STUDENT93,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT94,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT95,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
STUDENT96,19-22,Male,Other,75%,Yes,No,Bus,12,Always,Yes,Yes,Yes,Yes,BA
STUDENT97,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT98,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT99,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
STUDENT100,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT101,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
STUDENT102,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,Yes,No,No,AA
STUDENT103,19-22,Male,Private,50%,No,No,Bus,12,Always,Yes,No,Yes,Yes,AA
STUDENT104,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
STUDENT105,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
STUDENT106,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
STUDENT107,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
STUDENT108,23-27,Male,State,75%,Yes,Yes,Private,12,Never,No,No,Yes,Yes,BA
STUDENT109,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT110,23-27,Male,State,50%,Yes,No,Private,2,Always,No,Yes,No,Yes,AA
STUDENT111,19-22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
STUDENT112,19-22,Male,State,50%,No,No,Private,0,Never,No,No,Yes,Yes,BB
STUDENT113,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT114,19-22,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT115,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT116,18,Female,Private,100%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,CB
STUDENT117,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,AA
STUDENT118,23-27,Male,State,50%,No,No,Bus,0,Never,No,No,No,No,BB
STUDENT119,18,Male,Private,75%,No,No,Private,12,Always,Yes,Yes,No,No,AA
STUDENT120,18,Female,Private,75%,No,No,Private,0,Always,Yes,No,No,No,Fail
STUDENT121,18,Male,State,75%,No,Yes,Bus,0,Always,Yes,Yes,Yes,Yes,DD
STUDENT122,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT123,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT124,18,Male,State,50%,No,No,Bus,12,Always,Yes,No,No,No,BA
STUDENT125,19-22,Male,Other,50%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT126,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
STUDENT127,18,Female,State,100%,No,No,Bus,0,Always,Yes,Yes,Yes,Yes,BB
STUDENT128,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT129,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT130,18,Female,State,75%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,DC
STUDENT131,18,Male,State,50%,No,No,Bus,0,Always,Yes,No,Yes,No,CB
STUDENT132,19-22,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
STUDENT133,19-22,Male,Other,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
STUDENT134,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT135,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT136,19-22,Male,State,100%,Yes,Yes,Bus,0,Always,No,Yes,Yes,No,DC
STUDENT137,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT138,19-22,Female,Private,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
STUDENT139,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
STUDENT140,19-22,Female,Private,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
STUDENT141,19-22,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT142,19-22,Male,State,50%,No,No,Private,2,Never,No,No,No,Yes,AA
STUDENT143,18,Male,State,50%,No,No,Bus,0,Always,No,No,Yes,Yes,DD
STUDENT144,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
STUDENT145,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
STUDENT146,19-22,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
STUDENT147,23-27,Male,State,50%,No,No,Bus,12,Always,Yes,Yes,Yes,No,BB
STUDENT148,23-27,Female,Private,50%,No,Yes,Private,0,Always,No,Yes,No,Yes,AA
STUDENT149,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT150,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT151,18,Male,Other,50%,No,Yes,Private,2,Always,No,Yes,Yes,No,CC
STUDENT152,19-22,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT153,18,Female,Private,75%,Yes,Yes,Private,8,Sometimes,No,Yes,No,Yes,Fail
STUDENT154,19-22,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT155,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT156,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
STUDENT157,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT158,18,Male,State,75%,No,No,Private,0,Sometimes,No,Yes,Yes,Yes,DC
STUDENT159,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT160,19-22,Female,State,50%,Yes,No,Bus,0,Sometimes,Yes,Yes,Yes,Yes,CB
STUDENT161,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT162,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
STUDENT163,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT164,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT165,19-22,Male,State,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
STUDENT166,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT167,18,Female,State,100%,Yes,Yes,Private,0,Always,No,Yes,Yes,No,BA
STUDENT168,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT169,19-22,Female,State,50%,Yes,No,Private,2,Always,Yes,Yes,Yes,No,AA
STUDENT170,19-22,Male,Other,50%,Yes,Yes,Private,12,Always,No,No,No,No,AA
STUDENT171,18,Male,State,100%,No,Yes,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT172,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
STUDENT173,19-22,Male,State,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
STUDENT174,23-27,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
STUDENT175,19-22,Female,State,75%,Yes,No,Private,0,Always,Yes,No,Yes,No,CC
STUDENT176,19-22,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT177,18,Male,State,75%,Yes,No,Private,0,Always,No,No,Yes,No,DC
STUDENT178,18,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,No,Yes,Yes,Fail
STUDENT179,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT180,18,Male,State,75%,No,Yes,Bus,0,Sometimes,No,No,No,No,DD
STUDENT181,19-22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
STUDENT182,19-22,Female,State,75%,No,No,Bus,0,Always,Yes,No,No,Yes,CC
STUDENT183,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT184,19-22,Male,State,50%,No,No,Private,2,Never,No,No,No,Yes,AA
STUDENT185,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT186,18,Male,Other,100%,Yes,Yes,Bus,0,Sometimes,No,No,No,Yes,CC
STUDENT187,19-22,Female,Other,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT188,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT189,19-22,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT190,23-27,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
STUDENT191,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT192,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT193,18,Female,Private,50%,No,No,Private,12,Sometimes,No,No,No,Yes,BA
STUDENT194,23-27,Male,State,50%,Yes,No,Private,2,Always,No,Yes,No,Yes,AA
STUDENT195,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT196,18,Male,State,75%,No,No,Private,0,Always,No,Yes,Yes,Yes,CC
STUDENT197,19-22,Female,State,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,CB
STUDENT198,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DC
STUDENT199,18,Female,Private,100%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
STUDENT200,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,CC
STUDENT201,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT202,19-22,Male,Other,50%,Yes,No,Private,0,Always,Yes,No,Yes,Yes,AA
STUDENT203,18,Female,State,75%,No,Yes,Bus,0,Never,No,No,No,Yes,Fail
STUDENT204,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT205,18,Female,State,75%,Yes,No,Bus,2,Sometimes,No,No,Yes,Yes,Fail
STUDENT206,19-22,Male,Other,75%,Yes,No,Bus,12,Always,Yes,Yes,Yes,Yes,BA
STUDENT207,19-22,Female,Other,50%,No,Yes,Bus,0,Always,No,No,No,Yes,CC
STUDENT208,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT209,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT210,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,AA
STUDENT211,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT212,19-22,Female,State,75%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
STUDENT213,19-22,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT214,18,Male,State,75%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT215,19-22,Female,Other,50%,Yes,No,Private,0,Sometimes,No,Yes,Yes,Yes,BA
STUDENT216,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT217,19-22,Male,Other,50%,No,No,Private,12,Always,Yes,Yes,No,Yes,DD
STUDENT218,18,Female,Private,100%,No,Yes,Private,0,Always,No,No,Yes,Yes,BA
STUDENT219,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT220,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT221,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT222,18,Male,Private,50%,No,Yes,Bus,0,Sometimes,No,Yes,No,Yes,DD
STUDENT223,23-27,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
STUDENT224,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT225,19-22,Male,Other,50%,Yes,Yes,Private,12,Always,No,No,No,No,AA
STUDENT226,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT227,18,Female,State,75%,No,No,Private,0,Never,No,Yes,Yes,No,CC
STUDENT228,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
STUDENT229,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT230,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT231,19-22,Female,State,50%,Yes,Yes,Private,0,Never,No,No,Yes,Yes,BA
STUDENT232,18,Female,State,75%,No,Yes,Private,0,Sometimes,No,Yes,Yes,Yes,AA
STUDENT233,18,Female,Private,100%,No,No,Private,12,Always,Yes,No,Yes,No,BB
STUDENT234,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT235,19-22,Female,State,50%,No,No,Private,2,Always,Yes,No,No,Yes,AA
STUDENT236,19-22,Female,State,100%,Yes,Yes,Private,8,Always,Yes,Yes,Yes,Yes,BA
STUDENT237,18,Male,State,100%,No,Yes,Bus,0,Never,No,Yes,No,No,AA
STUDENT238,18,Male,State,100%,No,No,Bus,0,Never,No,No,No,No,AA
STUDENT239,19-22,Male,State,50%,Yes,Yes,Bus,2,Sometimes,No,No,Yes,Yes,AA
STUDENT240,19-22,Female,Private,100%,No,Yes,Private,2,Sometimes,Yes,Yes,No,Yes,DC
STUDENT241,19-22,Male,State,50%,No,No,Bus,2,Sometimes,Yes,Yes,Yes,Yes,AA
STUDENT242,18,Female,State,50%,Yes,Yes,Bus,2,Sometimes,No,Yes,Yes,Yes,BA
STUDENT243,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
STUDENT244,19-22,Male,State,50%,No,Yes,Bus,0,Always,Yes,Yes,No,No,AA
STUDENT245,18,Male,State,100%,Yes,No,Bus,0,Never,No,No,Yes,No,AA
STUDENT246,19-22,Male,Other,75%,No,No,Private,0,Never,No,No,Yes,Yes,CC
STUDENT247,18,Male,State,75%,No,Yes,Bus,0,Sometimes,No,No,No,No,DD
STUDENT248,18,Male,Private,50%,Yes,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT249,19-22,Male,State,50%,No,No,Private,2,Never,No,Yes,No,Yes,BA
STUDENT250,19-22,Female,State,50%,No,No,Private,12,Sometimes,Yes,No,Yes,No,BA
STUDENT251,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,Yes,Yes,BB
STUDENT252,18,Female,Private,50%,Yes,No,Bus,2,Always,No,Yes,No,No,AA
STUDENT253,18,Male,Private,50%,No,No,Bus,2,Always,Yes,No,Yes,No,BA
STUDENT254,18,Male,State,50%,No,Yes,Bus,0,Always,No,No,Yes,No,AA
STUDENT255,18,Female,State,100%,No,Yes,Private,0,Always,Yes,No,No,No,AA
STUDENT256,18,Male,State,50%,No,No,Bus,8,Always,Yes,No,Yes,No,BB
STUDENT257,19-22,Female,State,100%,No,No,Private,0,Always,Yes,Yes,Yes,No,AA
STUDENT258,19-22,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,Yes,BA
STUDENT259,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT260,19-22,Female,Other,50%,No,No,Private,12,Always,Yes,No,No,No,AA
STUDENT261,19-22,Male,Other,75%,Yes,No,Bus,12,Always,Yes,Yes,Yes,Yes,BA
STUDENT262,23-27,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
STUDENT263,18,Male,State,50%,No,No,Private,0,Always,Yes,No,No,No,DD
STUDENT264,18,Male,State,50%,No,No,Bus,8,Always,Yes,No,Yes,No,BB
STUDENT265,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,DC
STUDENT266,18,Male,State,75%,No,Yes,Private,0,Never,No,No,No,Yes,DD
STUDENT267,19-22,Female,State,100%,Yes,No,Bus,0,Always,Yes,Yes,Yes,Yes,AA
STUDENT268,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,CC
STUDENT269,18,Female,State,75%,No,No,Private,0,Never,No,No,No,Yes,AA
STUDENT270,19-22,Male,State,50%,No,No,Private,0,Always,Yes,No,No,Yes,BA
STUDENT271,19-22,Male,State,50%,No,No,Private,2,Always,Yes,No,Yes,No,BA
STUDENT272,19-22,Female,State,50%,No,Yes,Private,2,Always,Yes,Yes,Yes,No,CC
STUDENT273,19-22,Male,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,No,No,CB
STUDENT274,19-22,Male,State,50%,No,No,Bus,0,Always,Yes,No,No,No,CC
STUDENT275,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT276,23-27,Male,State,25%,Yes,Yes,Private,12,Always,Yes,Yes,No,No,AA
STUDENT277,19-22,Female,Other,50%,No,No,Private,0,Never,No,Yes,No,Yes,AA
STUDENT278,23-27,Male,State,50%,Yes,No,Private,0,Always,No,Yes,No,No,BB
STUDENT279,18,Male,State,100%,No,No,Private,2,Always,Yes,Yes,Yes,No,CB
STUDENT280,18,Female,Private,75%,Yes,Yes,Bus,12,Sometimes,No,Yes,No,Yes,BB
STUDENT281,18,Female,State,50%,Yes,Yes,Private,0,Always,Yes,Yes,Yes,No,BB
STUDENT282,18,Female,State,100%,No,Yes,Private,0,Always,Yes,No,No,No,AA
STUDENT283,18,Male,Private,75%,No,No,Bus,12,Always,No,Yes,Yes,No,DD
STUDENT284,18,Female,State,50%,Yes,Yes,Bus,0,Sometimes,No,No,Yes,No,Fail
STUDENT285,19-22,Male,State,50%,No,Yes,Private,0,Never,No,Yes,No,Yes,AA
STUDENT286,19-22,Male,State,100%,No,No,Private,0,Always,Yes,No,Yes,Yes,BA
STUDENT287,19-22,Male,State,50%,No,No,Bus,0,Always,No,Yes,No,No,BB
