study_hours,attendance,sleep_hours,assignments_completed,internet_usage,previous_grade,participation,mock_test_score,class_interaction,extra_classes_attended,final_result
1.33,96.83,8.5,6.16,3.98,82.87,5.66,61.72,5.39,3.57,Average
6.49,99.16,5.92,2.33,3.42,38.94,4.96,25.09,1.7,7.88,Poor
5.52,85.2,6.72,0.24,3.6,87.82,2.33,86.51,4.67,2.51,Average
1.46,62.58,8.53,8.7,7.91,84.74,3.95,67.92,4.66,5.64,Average
3.51,45.01,7.12,0.21,1.28,79.61,4.91,29.19,1.59,3.59,Poor
9.17,86.63,4.58,8.75,7.07,32.53,1.8,27.51,4.14,6.57,Average
3.16,73.5,8.7,5.29,5.05,51.22,2.99,92.77,2.0,2.4,Average
2.3,65.45,7.14,9.39,4.07,48.42,6.38,73.54,8.27,1.92,Average
5.41,94.38,5.67,7.99,6.08,55.21,7.62,86.34,9.53,9.18,Good
9.87,46.67,4.7,9.98,4.41,36.13,9.99,90.32,1.65,1.02,Good
3.18,69.56,7.97,3.51,7.11,95.59,9.4,65.74,9.6,5.06,Average
7.05,40.68,7.1,7.67,7.3,68.77,6.78,61.4,5.7,2.21,Good
7.85,68.12,6.67,4.02,3.95,51.39,4.79,54.43,3.7,0.39,Average
3.14,43.38,8.47,4.8,2.94,57.79,6.73,45.36,1.69,0.36,Poor
7.55,47.13,7.94,6.28,5.15,61.3,8.07,54.77,5.51,1.75,Average
4.31,47.05,4.76,8.74,7.39,72.04,2.07,81.91,8.15,8.67,Average
6.69,78.95,5.56,9.84,2.47,66.1,4.69,68.15,7.36,2.82,Good
6.7,84.76,5.24,7.68,5.36,94.36,8.56,91.4,1.45,9.5,Good
5.82,75.0,7.72,4.18,5.42,64.79,4.45,55.47,1.66,5.82,Average
1.81,97.73,4.17,4.21,6.13,99.45,6.15,68.57,4.63,4.37,Average
8.52,62.49,6.85,7.38,1.92,89.6,6.29,70.5,3.66,5.8,Good
3.89,57.14,7.81,2.39,6.01,44.6,2.66,67.34,3.09,5.17,Poor
2.68,92.12,8.38,1.1,7.36,95.14,4.26,76.21,3.53,7.59,Poor
1.37,53.42,5.71,3.55,2.26,38.15,4.01,38.99,8.23,2.82,Poor
6.32,97.79,8.11,2.87,2.66,87.22,1.24,60.99,9.36,3.53,Average
7.1,40.73,4.55,2.96,7.8,56.64,1.22,28.34,4.65,8.94,Poor
1.15,98.19,8.23,2.34,2.27,91.46,8.49,50.76,9.15,9.46,Good
5.61,42.59,4.64,0.42,6.98,90.76,3.46,59.01,3.89,8.93,Poor
3.04,93.47,5.99,0.18,4.45,86.41,5.66,72.18,5.29,4.19,Average
6.81,71.66,7.99,9.88,2.73,85.3,3.69,96.04,3.03,7.8,Good
2.57,99.58,4.75,4.28,7.1,51.33,9.47,68.05,6.76,4.76,Average
7.22,44.43,5.15,3.84,4.12,35.66,3.33,79.49,9.81,4.98,Average
4.48,73.23,7.61,6.8,4.6,58.21,4.87,60.5,6.43,2.05,Average
9.43,98.16,7.6,2.18,3.51,42.15,8.85,70.73,4.22,5.91,Good
2.24,71.39,7.21,9.5,5.15,78.65,8.58,25.67,6.83,1.86,Poor
4.07,77.76,7.47,7.86,2.14,54.23,2.67,40.35,2.11,3.32,Average
2.02,81.74,6.71,0.89,3.74,98.29,8.22,48.95,9.0,8.55,Average
9.32,67.27,5.26,4.18,7.79,74.87,5.12,57.8,5.53,2.07,Average
8.9,77.65,5.73,8.79,2.81,87.57,5.35,23.65,5.04,0.71,Average
3.32,75.06,4.91,9.45,5.6,39.28,2.2,31.2,6.27,0.69,Poor
6.94,94.07,8.54,4.67,3.28,90.34,1.73,42.15,6.62,9.41,Good
8.35,42.73,6.92,6.13,6.41,94.59,7.55,97.72,1.65,5.07,Good
6.0,56.86,6.0,1.67,1.92,64.09,5.47,46.51,7.14,4.09,Average
5.77,97.02,6.31,9.91,7.79,72.44,4.93,58.56,3.18,8.11,Average
3.18,93.42,8.74,2.32,4.18,83.54,7.57,35.69,7.43,8.36,Average
1.84,67.34,4.77,9.43,2.65,42.24,7.89,68.86,8.4,3.32,Average
9.07,77.21,6.93,6.5,1.51,65.18,2.43,42.45,8.24,6.94,Good
9.1,56.64,6.53,6.08,2.19,57.91,6.49,36.56,5.97,7.71,Average
6.7,51.29,7.06,5.13,4.64,40.25,2.22,61.33,5.68,6.55,Average
4.05,67.82,4.09,2.31,3.36,55.73,7.76,20.44,2.29,1.52,Poor
4.14,61.2,8.36,1.77,6.8,34.77,6.91,20.61,7.98,8.76,Poor
7.53,75.02,8.66,2.2,4.02,31.81,9.61,37.53,3.44,5.39,Average
9.07,44.66,6.83,1.86,2.74,39.46,1.62,22.94,5.47,2.82,Poor
8.98,98.46,7.48,7.8,5.32,97.42,1.51,28.64,3.56,4.25,Good
8.02,99.17,8.61,3.5,5.95,68.47,3.54,47.11,2.2,0.38,Average
6.78,81.89,7.54,0.58,2.17,97.61,3.36,84.21,6.67,1.28,Average
1.76,72.17,4.76,9.69,2.17,60.27,3.22,65.76,1.49,7.66,Poor
2.45,58.57,6.88,8.84,1.26,51.83,9.16,61.01,7.74,0.0,Average
9.09,88.83,7.03,9.28,6.15,65.43,3.25,43.48,3.86,4.17,Good
6.46,81.08,6.12,9.95,5.65,60.77,3.45,94.54,1.0,5.23,Good
1.08,49.76,7.68,1.74,4.32,37.4,7.83,51.76,5.6,0.55,Poor
1.91,94.66,8.67,3.96,6.91,74.86,5.05,26.97,1.42,9.73,Poor
6.97,89.35,8.63,7.58,6.64,45.12,7.99,69.37,3.49,2.26,Good
1.05,96.99,6.25,6.96,5.1,73.37,1.59,29.11,7.36,3.04,Poor
2.45,83.54,4.57,1.54,7.08,75.51,5.39,47.62,1.56,3.04,Poor
5.94,76.8,8.92,8.16,2.44,40.64,1.3,60.59,8.55,2.3,Average
7.23,65.09,8.19,2.24,1.78,34.29,1.56,89.94,1.03,0.01,Average
6.87,95.96,4.62,2.24,2.89,84.65,9.16,59.48,3.22,7.29,Average
3.02,91.96,8.6,5.37,1.4,62.19,2.25,76.18,7.67,9.67,Good
7.41,42.71,8.35,5.93,4.72,34.07,5.79,99.43,3.85,2.24,Average
3.14,41.58,6.59,5.8,7.56,99.64,4.7,30.52,1.92,6.63,Poor
3.93,62.59,6.96,0.91,1.28,34.04,4.13,41.98,4.24,7.42,Poor
7.72,88.63,6.0,8.77,1.85,78.65,9.1,51.57,3.43,8.48,Good
6.85,99.24,4.27,2.66,4.17,98.86,1.2,53.75,8.58,4.23,Good
8.64,49.03,5.68,1.3,7.54,46.74,6.97,52.88,3.82,3.03,Poor
6.92,75.65,8.01,8.89,3.21,39.96,9.67,92.61,8.1,3.25,Good
6.11,62.85,4.02,9.56,4.55,38.5,6.04,77.12,9.03,7.13,Average
1.84,98.19,5.67,8.62,1.29,51.23,9.43,68.63,4.9,8.17,Good
4.31,90.53,5.99,8.1,2.04,37.07,1.47,44.75,9.19,1.82,Average
3.39,90.3,6.69,6.55,7.91,78.45,4.77,85.9,4.4,3.71,Good
3.2,68.12,8.6,5.51,7.76,34.36,3.34,96.4,9.68,9.02,Average
9.76,64.89,5.73,0.87,1.03,65.66,7.58,85.7,1.8,8.07,Good
4.54,56.4,5.73,4.08,7.66,99.77,9.83,20.13,7.18,9.85,Average
9.03,43.38,7.69,3.73,5.47,86.98,3.31,70.91,5.44,7.54,Good
6.68,91.88,6.26,2.6,7.08,73.07,6.89,24.09,4.49,3.93,Average
8.15,88.77,5.12,7.23,4.18,51.44,2.78,40.61,6.69,5.91,Average
5.52,99.98,6.26,4.96,4.61,73.67,6.09,24.76,7.33,6.61,Average
6.19,99.8,4.7,0.81,4.42,66.89,5.18,68.3,1.04,0.78,Average
5.43,73.33,4.88,2.2,5.67,59.83,9.75,74.93,2.5,5.44,Average
2.76,86.14,6.49,6.83,1.98,39.15,6.48,29.16,7.42,7.09,Average
7.5,96.69,6.09,0.76,1.21,92.06,4.15,50.71,7.0,1.67,Average
3.53,90.98,8.57,8.51,3.16,61.48,2.03,56.5,9.69,7.81,Average
1.22,54.84,5.81,4.95,5.93,43.62,2.36,49.52,7.85,5.84,Poor
6.81,67.03,6.9,4.81,2.41,55.74,3.03,29.68,9.56,9.52,Average
2.59,47.75,7.16,5.92,5.71,58.99,3.26,53.52,7.32,0.42,Poor
9.46,97.24,4.07,8.25,7.79,87.93,8.66,80.09,3.68,2.65,Good
9.59,76.37,7.32,3.48,1.66,81.35,6.05,25.68,1.95,6.02,Average
9.23,53.72,4.89,6.78,5.71,83.85,5.71,26.41,8.04,2.97,Average
4.33,80.3,8.81,5.66,4.11,30.77,2.03,48.38,6.8,7.14,Average
1.14,77.09,4.74,2.67,7.08,59.13,8.74,95.34,1.43,7.59,Average
9.35,61.49,6.07,8.79,2.24,63.69,7.51,73.49,4.24,1.03,Good
4.85,46.81,4.43,7.97,5.85,31.34,1.61,74.29,9.61,5.14,Poor
9.7,80.29,8.98,6.58,6.87,48.19,7.37,48.95,5.5,5.09,Good
9.67,71.22,6.51,8.51,7.61,83.22,5.89,67.49,4.89,3.69,Good
8.68,86.34,6.98,8.67,5.78,39.6,1.74,20.81,5.12,9.33,Average
3.65,71.21,4.34,7.08,4.48,67.47,5.12,70.89,2.88,8.28,Average
4.47,91.13,7.75,8.37,5.32,45.06,5.36,93.06,4.32,6.97,Good
8.66,73.11,5.05,6.97,7.08,30.85,2.49,69.01,4.33,7.14,Average
3.85,73.66,8.49,6.8,4.99,46.88,9.51,89.9,1.47,4.62,Average
2.53,92.6,5.03,6.19,1.21,98.31,8.65,77.92,7.91,9.21,Good
6.01,64.21,4.95,7.53,7.52,86.11,7.02,29.64,4.75,6.95,Average
9.43,48.04,4.18,1.59,5.83,97.17,5.16,92.2,8.4,7.29,Good
7.26,41.73,6.36,8.81,5.74,64.15,4.71,25.32,8.65,8.62,Average
6.13,85.31,6.82,8.72,2.51,37.68,6.86,62.72,2.91,2.74,Good
1.87,77.22,4.33,0.29,5.61,68.36,5.91,31.37,6.92,8.07,Poor
6.54,82.24,7.88,8.26,3.76,61.81,1.56,20.94,5.25,1.95,Average
9.91,52.78,6.27,1.29,5.56,89.1,5.61,53.76,8.92,3.45,Average
2.26,48.18,6.62,3.35,1.75,36.87,8.26,43.6,2.94,3.36,Poor
5.66,40.87,6.2,7.44,5.6,64.18,5.13,58.88,7.1,9.79,Average
8.9,61.04,6.0,1.61,8.0,40.5,1.47,66.18,6.47,8.57,Average
7.67,75.4,6.8,8.18,1.34,52.73,8.08,23.5,3.66,7.01,Good
7.27,63.53,4.78,8.32,7.84,81.61,2.81,29.84,2.23,7.27,Average
7.32,66.25,4.91,5.07,3.85,63.32,3.33,64.69,6.86,5.62,Average
4.24,94.25,8.31,0.06,7.1,56.31,2.48,47.45,7.65,9.47,Poor
3.64,60.9,8.73,2.87,6.48,57.61,3.97,78.33,3.84,4.96,Average
8.28,70.84,5.87,6.17,4.97,62.16,7.81,72.18,6.8,3.81,Good
8.29,87.02,5.35,9.81,6.17,84.95,5.67,87.65,4.56,1.63,Good
8.8,63.79,7.22,6.32,7.15,92.45,2.84,75.4,7.42,7.86,Good
9.22,77.33,6.04,2.6,3.83,96.87,8.9,54.39,2.79,7.34,Good
5.6,91.74,4.13,6.34,3.29,85.08,8.92,73.84,9.01,3.84,Good
5.51,96.97,4.78,5.4,5.67,52.08,8.84,42.03,3.59,0.25,Average
8.18,48.82,7.58,7.8,6.65,78.17,3.15,44.51,4.31,8.39,Average
6.85,95.6,7.29,1.07,6.34,60.63,5.06,83.12,1.52,0.11,Average
7.32,69.53,4.14,7.61,6.58,47.83,9.86,55.71,2.0,7.04,Average
8.16,55.49,5.11,5.41,4.05,88.86,7.95,83.87,5.64,9.7,Good
9.01,67.55,5.16,9.63,6.72,32.69,1.24,85.79,3.41,4.38,Average
4.04,98.8,7.36,3.42,1.84,93.12,1.59,88.6,8.52,2.35,Good
4.38,69.56,4.1,6.33,4.81,62.3,5.18,93.33,1.13,7.05,Average
1.85,59.73,4.52,9.32,1.04,74.6,9.18,54.48,4.41,8.17,Average
6.2,78.0,8.0,1.03,3.27,76.15,5.85,45.51,4.04,5.46,Average
1.32,54.41,4.89,9.37,3.57,92.66,5.48,66.58,1.17,9.67,Average
5.19,44.55,7.26,6.88,3.77,74.57,1.95,49.69,2.12,0.52,Poor
5.88,47.73,5.19,0.68,5.87,72.98,6.91,68.09,4.72,5.05,Average
3.58,47.68,4.5,3.01,3.72,34.67,8.4,76.45,5.44,7.18,Poor
6.32,49.11,5.22,7.08,4.14,66.29,4.42,75.07,4.64,8.63,Average
1.27,48.33,7.61,0.67,2.66,40.51,7.98,49.96,5.78,1.79,Poor
1.34,78.45,8.28,5.82,3.61,81.62,9.68,33.35,6.36,8.0,Average
8.4,50.91,8.15,3.46,2.59,65.86,2.83,54.44,1.09,5.53,Average
4.24,60.74,5.99,6.21,1.51,77.62,5.71,31.41,5.18,3.97,Average
2.14,93.81,7.34,0.46,5.22,32.92,3.58,91.21,9.67,1.32,Poor
5.7,68.44,5.02,8.72,5.68,35.94,8.14,47.67,5.67,8.65,Average
7.93,80.05,5.47,9.73,5.34,80.14,6.2,32.36,7.1,1.57,Good
2.94,50.34,8.48,9.69,4.24,35.05,6.71,22.04,3.81,3.1,Poor
6.61,51.54,4.07,7.5,3.66,34.99,8.18,71.67,7.97,2.9,Average
1.77,42.45,4.43,1.3,7.04,30.85,4.56,70.95,7.96,8.71,Poor
